1FT8W2BT9MEC65819,https://atcimages.kbb.com/hn/c/c81dba0caf1141a0940ed9e93057b16f.jpg,Used 2021 Ford F250 King Ranch,85986,Berglund Ford Mazda,Ford,F250,2021,4 wheel drive,8-Cylinder Turbo,"",White,"11,975",Truck,https://www.kbb.com/cars-for-sale/vehicledetails.xhtml?listingId=610900225,Diesel,"","Location: Chicago, IL. This 2021 Ford F250 is listed on kbb.com for $85986, Alarm System, Blind Spot Alert, Bluetooth, Hands-Free, Brake Assist, Cooled Seats, Cruise Control, Entertainment System, Fog Lights, Fullsize Crew Cab, Heated Passenger Seat, Heated Seats, Keyless Entry, Leather Seats, Leather Wrapped Steering Wheel, Navigation System, Parking assist, Power Passenger Seat, Power Windows, Premium Sound System, Premium Wheels, Rear Tow Hooks, Rearview Camera, Remote Engine Start, Running Boards, Satellite Radio, Side Air Bag, Steering Wheel Controls, Trailer Hitch"
1GNSKHKC0LR223008,https://atcimages.kbb.com/hn/c/92f156c90af84a609b58321ae9382b2a.jpg,Used 2020 Chevrolet Suburban LT,62984,Chevrolet Buick GMC of Quincy,Chevrolet,Suburban,2020,4 wheel drive,8-Cylinder,"",Gray,"31,232",Sport Utility,https://www.kbb.com/cars-for-sale/vehicledetails.xhtml?listingId=595563967,Gasoline,14 City / 21 Highway,"Location: Chicago, IL. This 2020 Chevrolet Suburban is listed on kbb.com for $62984, 3rd-Row Seats, Alarm System, Android Auto, Apple CarPlay, Auxiliary Audio Input, Blind Spot Alert, Bluetooth, Hands-Free, Brake Assist, Collision Warning, Cruise Control, DVD Player, Entertainment System, Fog Lights, Fullsize, Heated Passenger Seat, Heated Seats, Keyless Entry, Keyless Start, Lane Departure Warning, Leather Wrapped Steering Wheel, Navigation System, Parking assist, Power Passenger Seat, Power Windows, Premium Sound System, Premium Wheels, Rear Spoiler, Rearview Camera, Remote Engine Start, Roof Rack, Running Boards, Satellite Radio, Side Air Bag, Steeri, WiFi Hotspot"
JTHB51FF3J5005983,//atcimages.kbb.com/hn/c/2322a0f9060e4e22aa49508362419fc4.jpg,Used 2018 Lexus LS 500,62990,Carvana - Touchless Delivery to Your Home,Lexus,LS 500,2018,2 wheel drive - rear,6-Cylinder Turbo,Automatic,White,"10,500",Sedan,https://www.kbb.com/cars-for-sale/vehicledetails.xhtml?listingId=615507425,Gasoline,19 City / 30 Highway,"Location: CHICAGO, IL. This 2018 Lexus LS 500 includes ABS (4-Wheel), AM/FM/HD Radio, Air Conditioning, Alarm System, Alloy Wheels, Backup Camera, Bluetooth Wireless, CD/MP3 (Single Disc), Daytime Running Lights is listed on kbb.com for $62990, Luxury"
WDDUG6GB0KA473682,//atcimages.kbb.com/hn/c/956d3e2b3a664aa5a18b43339b6b8cba.jpg,Used 2019 Mercedes-Benz S 450 Sedan,59990,Carvana - Touchless Delivery to Your Home,Mercedes-Benz,S 450,2019,2 wheel drive - rear,6-Cylinder Turbo,Automatic,Gray,"49,987",Sedan,https://www.kbb.com/cars-for-sale/vehicledetails.xhtml?listingId=609247770,Gasoline,19 City / 28 Highway,"Location: CHICAGO, IL. This 2019 Mercedes-Benz S 450 includes ABS (4-Wheel), AM/FM/HD Stereo, Air Conditioning, Alarm System, Alloy Wheels, Backup Camera, Blind-Spot Assist, Bluetooth Wireless, Burmester Surround Sound is listed on kbb.com for $59990, Blind Spot Alert, Brake Assist, Keyless Start, Lane Departure Warning, Luxury, Moonroof, Remote Engine Start, WiFi Hotspot"
1FA6P8JZ8G5524534,//atcimages.kbb.com/hn/c/f3f0d872ea6140b4ba99c3254b842b12.jpg,Used 2016 Ford Mustang Shelby GT350,55990,Carvana - Touchless Delivery to Your Home,Ford,Mustang,2016,2 wheel drive - rear,8-Cylinder,Manual,Blue,"21,265",Coupe,https://www.kbb.com/cars-for-sale/vehicledetails.xhtml?listingId=615757987,Gasoline,14 City / 21 Highway,"Location: CHICAGO, IL. This 2016 Ford Mustang is listed on kbb.com for $55990, Brake Assist, Keyless Start, Sport"
1FMJK1KT1KEA19931,//atcimages.kbb.com/hn/c/833863ec6e184a6e8efa91d474d91374.jpg,Used 2019 Ford Expedition Max Limited,51990,Carvana - Touchless Delivery to Your Home,Ford,Expedition Max,2019,2 wheel drive - rear,6-Cylinder Turbo,Automatic,Black,"50,231",Sport Utility,https://www.kbb.com/cars-for-sale/vehicledetails.xhtml?listingId=615758904,Gasoline,17 City / 23 Highway,"Location: CHICAGO, IL. This 2019 Ford Expedition Max includes ABS (4-Wheel), AM/FM/HD Radio, AdvanceTrac, Air Conditioning, Alarm System, Backup Camera, Bang & Olufsen Premium Sound, Blind-Spot Information System is listed on kbb.com for $51990, Blind Spot Alert, Brake Assist, Fullsize, Keyless Start, Remote Engine Start, WiFi Hotspot"
WDDUG6GB8KA473767,//atcimages.kbb.com/hn/c/37bf124877bb48f7a3cfc635b6b9d8c5.jpg,Used 2019 Mercedes-Benz S 450 Sedan,62590,Carvana - Touchless Delivery to Your Home,Mercedes-Benz,S 450,2019,2 wheel drive - rear,6-Cylinder Turbo,Automatic,Blue,"41,859",Sedan,https://www.kbb.com/cars-for-sale/vehicledetails.xhtml?listingId=607414402,Gasoline,19 City / 28 Highway,"Location: CHICAGO, IL. This 2019 Mercedes-Benz S 450 includes ABS (4-Wheel), AM/FM/HD Stereo, Air Conditioning, Alarm System, Alloy Wheels, Backup Camera, Blind-Spot Assist, Bluetooth Wireless, Burmester Surround Sound is listed on kbb.com for $62590, Blind Spot Alert, Brake Assist, Keyless Start, Lane Departure Warning, Luxury, Moonroof, Remote Engine Start, WiFi Hotspot"
4JGED6EB1JA098437,https://atcimages.kbb.com/hn/c/243efde123a14944b053873494d3c931.jpg,Used 2018 Mercedes-Benz GLE 43 AMG 4MATIC Coupe,64795,Motorwerks BMW,Mercedes-Benz,GLE 43 AMG,2018,All wheel drive,6-Cylinder Turbo,"",White,"50,329",Sport Utility,https://www.kbb.com/cars-for-sale/vehicledetails.xhtml?listingId=613317344,Gasoline,17 City / 22 Highway,"Location: Chicago, IL. This 2018 Mercedes-Benz GLE 43 AMG is listed on kbb.com for $64795, Alarm System, Auxiliary Audio Input, Blind Spot Alert, Bluetooth, Hands-Free, Brake Assist, Cruise Control, DVD Player, Fog Lights, Heated Passenger Seat, Heated Seats, Keyless Entry, Keyless Start, Lane Departure Warning, Leather Wrapped Steering Wheel, Moonroof, Navigation System, Power Passenger Seat, Power Windows, Premium Sound System, Premium Wheels, Rear Spoiler, Rearview Camera, Satellite Radio, Side Air Bag, Sport, Steering Wheel Controls, Sunroof"
WP0CB2A85DS130308,//atcimages.kbb.com/hn/c/aca93a056f114d5982883839460fe5b3.jpg,Used 2013 Porsche Boxster S,54990,Carvana - Touchless Delivery to Your Home,Porsche,Boxster,2013,2 wheel drive - rear,6-Cylinder,"",Black,"33,070",Convertible,https://www.kbb.com/cars-for-sale/vehicledetails.xhtml?listingId=609429387,Gasoline,"","Location: CHICAGO, IL. This 2013 Porsche Boxster includes AM/FM Stereo, Active Suspension, Air Conditioning, Bi-HID Headlamps, Bluetooth Wireless, Bose Premium Sound, Cruise Control, DVD System, Dual Air Bags is listed on kbb.com for $54990, Sport"
1FMEE5DP3MLA87680,https://atcimages.kbb.com/hn/c/d24a6149067e41b49742280fab15be21.jpg,Used 2021 Ford Bronco Badlands,79288,Keller Bros Ford - Lititz,Ford,Bronco,2021,4 wheel drive,6-Cylinder Turbo,"",Gray,165,Sport Utility,https://www.kbb.com/cars-for-sale/vehicledetails.xhtml?listingId=610744771,Gasoline,"","Location: Chicago, IL. This 2021 Ford Bronco is listed on kbb.com for $79288, Adaptive Cruise Control, Alarm System, Android Auto, Apple CarPlay, Auxiliary Audio Input, Bluetooth, Hands-Free, Brake Assist, Collision Warning, Cruise Control, Heated Passenger Seat, Heated Seats, Keyless Entry, Keyless Start, Leather Seats, Leather Wrapped Steering Wheel, Midsize, Navigation System, Parking assist, Power Passenger Seat, Power Windows, Premium Sound System, Premium Wheels, Rear Tow Hooks, Rearview Camera, Remote Engine Start, Satellite Radio, Side Air Bag, Steering Wheel Controls, WiFi Hotspot"
